iter	Logloss
0	0.6163307342
1	0.5555484445
2	0.4992673591
3	0.4523108908
4	0.4172511
5	0.3837092561
6	0.357307528
7	0.3330757374
8	0.3148579569
9	0.2962694943
10	0.2838481892
11	0.2685288614
12	0.2573842468
13	0.2485446354
14	0.2398066736
15	0.2296463193
16	0.2221352174
17	0.2166881475
18	0.2120434097
19	0.2070637566
20	0.201777054
21	0.1987186528
22	0.1958923357
23	0.1927526058
24	0.189573214
25	0.1875218523
26	0.1854571081
27	0.1832814058
28	0.1813810185
29	0.1796528289
30	0.1786853135
31	0.1770226459
32	0.1760782271
33	0.1749937095
34	0.1742566021
35	0.1731356548
36	0.1716515553
37	0.1707498407
38	0.1701146423
39	0.1691470315
40	0.1684470802
41	0.1678892897
42	0.1674085742
43	0.1670068144
44	0.1664550077
45	0.1660304609
46	0.1656547153
47	0.1652703058
48	0.1644718545
49	0.1641382131
50	0.1633893948
51	0.1631370729
52	0.1627182378
53	0.1623219736
54	0.1618839426
55	0.1615860582
56	0.1612837231
57	0.1609003001
58	0.1603397003
59	0.1600532813
60	0.1598470306
61	0.1595101336
62	0.1591178244
63	0.1588562224
64	0.1584987381
65	0.158245286
66	0.1579677318
67	0.1576412381
68	0.1574231441
69	0.1571400579
70	0.1569131135
71	0.156639254
72	0.1564184222
73	0.1561867155
74	0.1560255967
75	0.1558078351
76	0.1555826178
77	0.1553229465
78	0.1550831784
79	0.1548552977
80	0.1545550411
81	0.1543966097
82	0.154225663
83	0.1540786815
84	0.1539465638
85	0.1537071095
86	0.1535894967
87	0.1534141351
88	0.1532548337
89	0.1531282836
90	0.1529748929
91	0.1528476861
92	0.1526589436
93	0.1525436121
94	0.1523528318
95	0.1522640276
96	0.1520860363
97	0.1519608844
98	0.1518497307
99	0.1516330826
100	0.1515140643
101	0.151357378
102	0.1512525063
103	0.1510692408
104	0.1509137016
105	0.1507612675
106	0.1506175002
107	0.1504882591
108	0.1504001115
109	0.1503231542
110	0.1502202986
111	0.150055088
112	0.149973801
113	0.1499372298
114	0.1497858313
115	0.1497186278
116	0.1496042801
117	0.1495202627
118	0.1494278102
119	0.1493414142
120	0.1492444009
121	0.1491455444
122	0.1489650486
123	0.148895144
124	0.1487812902
125	0.148717174
126	0.148554412
127	0.1484698763
128	0.1483695585
129	0.148216576
130	0.1481270195
131	0.1480054906
132	0.1478904741
133	0.1478114255
134	0.1477664723
135	0.147713223
136	0.1475365547
137	0.147436757
138	0.1473240206
139	0.1472473711
140	0.1471298309
141	0.146997026
142	0.1468003258
143	0.1466709738
144	0.1466109892
145	0.1464947552
146	0.1464208302
147	0.1463089967
148	0.1462200087
149	0.146128713
150	0.1460050137
151	0.1459375615
152	0.1458814974
153	0.1457843395
154	0.145736741
155	0.1456314542
156	0.1454934549
157	0.1454204836
158	0.1453132861
159	0.1452105482
160	0.1451404907
161	0.145052397
162	0.1449856124
163	0.1448824254
164	0.1447715841
165	0.1447305809
166	0.1446600906
167	0.1446258937
168	0.1445560137
169	0.1444968913
170	0.1443904795
171	0.1442797541
172	0.1441684544
173	0.1440591727
174	0.1439670062
175	0.1438865742
176	0.1437686392
177	0.1436720024
178	0.1436126206
179	0.1435116397
180	0.1433933103
181	0.1432317811
182	0.1431469384
183	0.1430530979
184	0.1430051503
185	0.142836018
186	0.1427533287
187	0.1426581187
188	0.1425157653
189	0.1424377451
190	0.1423772679
191	0.142337357
192	0.1422900712
193	0.1421487077
194	0.1420535365
195	0.1419613591
196	0.1419357461
197	0.1418305046
198	0.1417904353
199	0.141734122
200	0.1416590022
201	0.1415683193
202	0.1414477054
203	0.1413409359
204	0.1412479988
205	0.141156962
206	0.1411111448
207	0.1410420843
208	0.1409848536
209	0.1408657378
210	0.1407981024
211	0.1407437059
212	0.1406322047
213	0.1405566677
214	0.1404932411
215	0.1404105795
216	0.1403724301
217	0.1403439714
218	0.1402815522
219	0.1402468543
220	0.1401366509
221	0.1400436372
222	0.1399222375
223	0.139868246
224	0.139833817
225	0.1397579538
226	0.1396989399
227	0.1396525164
228	0.1395829643
229	0.1394966406
230	0.1394417285
231	0.1393848565
232	0.1392618559
233	0.1391907605
234	0.1391404929
235	0.1390520196
236	0.1389165329
237	0.138806764
238	0.1386914623
239	0.138585553
240	0.1384846298
241	0.1383853103
242	0.1382938459
243	0.1382391808
244	0.1381325388
245	0.1380320127
246	0.1379101426
247	0.137814745
248	0.1377332049
249	0.1376773668
250	0.1375646344
251	0.1375390621
252	0.1374743504
253	0.137389825
254	0.1372849682
255	0.1371725696
256	0.1370649441
257	0.1369642922
258	0.1369016724
259	0.1368355308
260	0.1367939694
261	0.1367062958
262	0.1366188783
263	0.136567767
264	0.1364637905
265	0.1363857887
266	0.1362751273
267	0.1361354826
268	0.1360675793
269	0.1359616907
270	0.1359135726
271	0.1358152141
272	0.1357459259
273	0.1356380961
274	0.1355828013
275	0.135514937
276	0.1354380288
277	0.1353590538
278	0.1352735154
279	0.1351591256
280	0.1351037105
281	0.1350256142
282	0.1349586841
283	0.1348610548
284	0.1347534203
285	0.1346417334
286	0.1345717716
287	0.1345041992
288	0.1344201421
289	0.1343262163
290	0.1342359052
291	0.1341273646
292	0.1340502828
293	0.1339010366
294	0.1338083597
295	0.1337519339
296	0.133673604
297	0.1336271872
298	0.133562557
299	0.1334874171
300	0.1334333198
301	0.1333580747
302	0.133309931
303	0.1331912998
304	0.1330836233
305	0.1329706315
306	0.1328674937
307	0.1328162477
308	0.1327653835
309	0.1326731443
310	0.1326046072
311	0.1325401456
312	0.1324597029
313	0.1323748835
314	0.1322693056
315	0.1321714076
316	0.1321083986
317	0.1320661014
318	0.132047213
319	0.1319890326
320	0.1319620552
321	0.1318437226
322	0.1317811649
323	0.1316859668
324	0.1316347521
325	0.1315513161
326	0.1314817869
327	0.1314163415
328	0.1313768077
329	0.1312792548
330	0.1311783318
331	0.1311371816
332	0.1310714388
333	0.130986524
334	0.1308945902
335	0.1308000018
336	0.130705381
337	0.1306568524
338	0.1305722347
339	0.1305035806
340	0.1304847875
341	0.1303970994
342	0.1303239308
343	0.1302525988
344	0.1301727505
345	0.1301470594
346	0.1300366478
347	0.1300020421
348	0.1299108493
349	0.1298139842
350	0.1297464918
351	0.1296550884
352	0.12959003
353	0.1295549252
354	0.1295349944
355	0.1294882017
356	0.1293889328
357	0.1293650529
358	0.129286081
359	0.12919534
360	0.1290947955
361	0.1290022015
362	0.1289299194
363	0.128844892
364	0.1287125766
365	0.1286290472
366	0.1285889749
367	0.1285296793
368	0.1284146665
369	0.1283237858
370	0.1282410363
371	0.1281806611
372	0.128105497
373	0.1280538771
374	0.1279834774
375	0.1279009047
376	0.1278584578
377	0.1277733032
378	0.1277086
379	0.1276175799
380	0.1275743817
381	0.1275075375
382	0.1274393816
383	0.1273448745
384	0.1272505655
385	0.1271525692
386	0.1271015125
387	0.12703391
388	0.1270099602
389	0.1269483793
390	0.1268666681
391	0.1268093346
392	0.1267612642
393	0.1267138458
394	0.1266400732
395	0.1265765506
396	0.1265091083
397	0.1264918064
398	0.1264173176
399	0.1263536926
400	0.1263294749
401	0.1262743843
402	0.1262083421
403	0.1261323712
404	0.1260923738
405	0.1260479475
406	0.1259810533
407	0.1259702144
408	0.1259219179
409	0.1258327757
410	0.1257918141
411	0.125707438
412	0.1256465123
413	0.1256102518
414	0.1255394787
415	0.1254923522
416	0.125386684
417	0.1253211144
418	0.1252525265
419	0.1251768566
420	0.1251335187
421	0.1250506844
422	0.1249606938
423	0.1249025086
424	0.1248390217
425	0.1247562325
426	0.1246746663
427	0.1246106088
428	0.1245339713
429	0.1244567707
430	0.1243860245
431	0.1243366287
432	0.1242510484
433	0.1242193246
434	0.1241330635
435	0.1240774463
436	0.1240465391
437	0.1240114534
438	0.1239415342
439	0.1238928805
440	0.123826726
441	0.1237469343
442	0.1237142027
443	0.1236428816
444	0.1235841278
445	0.1235375421
446	0.1234976911
447	0.1234703824
448	0.1234082403
449	0.1233424971
450	0.1232971989
451	0.1232632503
452	0.1232073145
453	0.1231298642
454	0.123093752
455	0.1230530449
456	0.1229691189
457	0.1229005638
458	0.1228587784
459	0.1228167441
460	0.1227962128
461	0.1227655244
462	0.122753087
463	0.1227065827
464	0.1226641424
465	0.1226265481
466	0.122569404
467	0.1225229318
468	0.1224388286
469	0.1223958506
470	0.1223094417
471	0.1222932962
472	0.1222560243
473	0.1222119656
474	0.1221306357
475	0.1220627978
476	0.1219753182
477	0.1219418674
478	0.1218467338
479	0.1217748887
480	0.1217089494
481	0.1216990096
482	0.1216249054
483	0.1215447982
484	0.121521611
485	0.1214420041
486	0.1214116523
487	0.1213753669
488	0.1213102671
489	0.1212383374
490	0.1211737716
491	0.1211320083
492	0.1210620698
493	0.1209772562
494	0.1209154338
495	0.1208426803
496	0.1207950257
497	0.1207039961
498	0.120622933
499	0.1205514359
500	0.1204902897
501	0.1203951733
502	0.1203503902
503	0.120314206
504	0.1202483374
505	0.12019426
506	0.1201289818
507	0.1200462607
508	0.1200202626
509	0.1199576515
510	0.119912796
511	0.1198672915
512	0.1198170354
513	0.1197949501
514	0.119715034
515	0.1196628769
516	0.1196069237
517	0.1195739883
518	0.1195409698
519	0.1194906999
520	0.119454642
521	0.1193905297
522	0.1193834762
523	0.1193697602
524	0.1193249638
525	0.1192723773
526	0.1191952764
527	0.1191873039
528	0.1191478975
529	0.1190723711
530	0.1190331069
531	0.1189951779
532	0.1189868659
533	0.1189454475
534	0.1188936407
535	0.1188634937
536	0.1188215066
537	0.1188078892
538	0.1187847805
539	0.1187373636
540	0.1186697901
541	0.1185858341
542	0.1185275388
543	0.1184768867
544	0.1184067077
545	0.1183713767
546	0.11833931
547	0.1182684608
548	0.1181979932
549	0.1181682552
550	0.1181536071
551	0.1181021881
552	0.1180596715
553	0.1180530671
554	0.1179924308
555	0.117986278
556	0.1179284235
557	0.117897349
558	0.117825686
559	0.1177977715
560	0.1177570019
561	0.1177409445
562	0.1176540649
563	0.1175877121
564	0.1175238142
565	0.1174480434
566	0.1173765431
567	0.1173320618
568	0.1172773268
569	0.1171995766
570	0.1171167926
571	0.1170322972
572	0.1169707389
573	0.1169295743
574	0.1168882858
575	0.1168312756
576	0.1167970593
577	0.1167321083
578	0.1166745724
579	0.1166120206
580	0.1165390232
581	0.1164653371
582	0.1164433358
583	0.1163903342
584	0.1163195945
585	0.1162811902
586	0.1162365202
587	0.116183704
588	0.1161397495
589	0.1160633154
590	0.1160054378
591	0.1159654717
592	0.1158837403
593	0.1158076334
594	0.1157369088
595	0.1156504256
596	0.1155916937
597	0.1155216909
598	0.1154572334
599	0.115446348
600	0.1153950408
601	0.1152980973
602	0.1152317983
603	0.115190795
604	0.1151187458
605	0.1150734856
606	0.1150158645
607	0.1149679015
608	0.1149449868
609	0.1148774329
610	0.1148254722
611	0.1147792075
612	0.1147455892
613	0.1147202092
614	0.1146755921
615	0.1146363
616	0.1145947798
617	0.1145699451
618	0.114477809
619	0.1144528483
620	0.1144133927
621	0.1143437452
622	0.1143247828
623	0.114260903
624	0.1142080118
625	0.1141517891
626	0.1141236097
627	0.1140821951
628	0.1140599157
629	0.1139896995
630	0.1139769628
631	0.1139333989
632	0.113907609
633	0.1138500709
634	0.11381668
635	0.1137606614
636	0.1136955318
637	0.1136445308
638	0.1135870089
639	0.113552624
640	0.1134852318
641	0.11339309
642	0.1133318495
643	0.1132688653
644	0.1132165979
645	0.1131783043
646	0.1131697867
647	0.1131263936
648	0.1130769121
649	0.1130389036
650	0.1130016342
651	0.112962091
652	0.1128967809
653	0.1128497991
654	0.1127665655
655	0.1127030099
656	0.1126763426
657	0.112638681
658	0.1125982201
659	0.1125455566
660	0.112505481
661	0.1124361484
662	0.1123650347
663	0.1123417492
664	0.1122737072
665	0.1122328306
666	0.1121532982
