iter	MultiClass
303	0.5814306054
304	0.5812069768
305	0.5811328699
306	0.580730041
307	0.5805914336
308	0.5804737614
309	0.5803382307
310	0.5801336503
311	0.5800148175
312	0.5799318069
313	0.5798337563
314	0.5796893732
315	0.5794844891
316	0.5794191901
317	0.5790555496
318	0.5788504221
319	0.5786838486
320	0.5784413515
321	0.5782747755
322	0.578187817
323	0.5780098991
324	0.5779096988
325	0.5773897324
326	0.5772031562
327	0.5771515872
328	0.5769538783
329	0.5767366743
330	0.5766262503
331	0.5763809451
332	0.5761585319
333	0.5760609523
334	0.5758886755
335	0.5757383833
336	0.57563935
337	0.5755352227
338	0.5751842265
339	0.5748078476
340	0.5747100594
341	0.5745626973
342	0.574420061
343	0.5742916751
344	0.5742180515
345	0.5741360753
346	0.5735968825
347	0.5734373193
348	0.5730724803
349	0.5726529137
350	0.5724566896
351	0.5720097514
352	0.5718401871
353	0.5716321511
354	0.5715330344
355	0.5714560315
356	0.5712527562
357	0.5711362368
358	0.5709358671
359	0.5708845704
360	0.5707722152
361	0.5705922181
362	0.5704151979
363	0.5702827771
364	0.5701185517
365	0.5699968662
366	0.5699252794
367	0.5698173197
368	0.5697350088
369	0.5696257085
370	0.5694696417
371	0.5692070626
372	0.5687310007
373	0.5685553581
374	0.5683789715
375	0.5680632363
376	0.5679627291
377	0.5676158081
378	0.5675477109
379	0.5673312261
380	0.5672206896
381	0.567014001
382	0.5668865096
383	0.5667076905
384	0.5666139914
385	0.5665065695
386	0.566226312
387	0.5661655367
388	0.5658640783
389	0.5656970102
390	0.5653894814
391	0.5653046689
392	0.5652348572
393	0.5651344213
394	0.5648965323
395	0.5647649497
396	0.5646168104
397	0.5645398102
398	0.5644252302
399	0.5643601486
400	0.5641665635
401	0.5640208826
402	0.5638131195
403	0.5636235666
404	0.5635170605
405	0.5634507429
406	0.5633187696
407	0.5631624874
408	0.5630755538
409	0.562989532
410	0.5628539869
411	0.5626766036
412	0.5622051054
413	0.5621165677
414	0.5616718542
415	0.5615589859
416	0.5614480948
417	0.5611511979
418	0.5609323373
419	0.5608231832
420	0.5606505411
421	0.5604291023
422	0.5603233948
423	0.5602670486
424	0.5601049641
425	0.5600535003
426	0.5599786239
427	0.5599164818
428	0.5597184945
429	0.5592826528
430	0.5591761109
431	0.5588562217
432	0.5587697999
433	0.5586968101
434	0.558541735
435	0.558415658
436	0.5583161607
437	0.5582068209
438	0.5580998243
439	0.5578222042
440	0.5577435407
441	0.5576085765
442	0.5574143442
443	0.5571845499
444	0.557093005
445	0.5569392535
446	0.5568776189
447	0.5568020723
448	0.5567299602
449	0.556621276
450	0.5565581626
451	0.5564750315
452	0.5563552277
453	0.5562283983
454	0.5560929905
455	0.5560135335
456	0.5559600831
457	0.5558304162
458	0.5557215389
459	0.5555234263
460	0.5554260415
461	0.5553332433
462	0.5550586074
463	0.5549930421
464	0.5548442204
465	0.5546458766
466	0.5545848193
467	0.5544737348
468	0.5542861597
469	0.5542118583
470	0.5541718835
471	0.5540982602
472	0.5540412316
473	0.5539349747
474	0.5537181142
475	0.5536070556
476	0.5535511682
477	0.5534241202
478	0.5532074068
479	0.5528214931
480	0.5527309001
481	0.5522346524
482	0.5521133937
483	0.5520254218
484	0.5519310751
485	0.5513860316
486	0.5512872302
487	0.5512093402
488	0.5510740339
489	0.5509414402
490	0.5508276076
491	0.5507098008
492	0.5506284771
493	0.5505068675
494	0.5503572777
495	0.5502573964
496	0.5501086184
497	0.5500311699
498	0.5499037925
499	0.5497358127
500	0.5495929874
501	0.5495001906
502	0.5493514611
503	0.5492480946
504	0.5491666531
505	0.5490181132
506	0.5489221908
507	0.5487422257
508	0.548637098
509	0.5485377782
510	0.5484735076
511	0.5484167068
512	0.5483508356
513	0.5481698485
514	0.5480566489
515	0.5479547858
516	0.5478565953
517	0.5477073115
518	0.5476282285
519	0.5475442263
520	0.5474932786
521	0.5473579414
522	0.5472177846
523	0.5471562649
524	0.5470596458
525	0.5468676762
526	0.5467474461
527	0.5466632801
528	0.5465758351
529	0.546491165
530	0.5464327633
531	0.5462313085
532	0.5461790324
533	0.5461114294
534	0.5457881365
535	0.5457027843
536	0.5456183496
537	0.5455256043
538	0.5454440614
539	0.5453193478
540	0.5449415037
541	0.5448558746
542	0.5447502382
543	0.5446326652
544	0.5445865633
545	0.5443787645
546	0.5442994756
547	0.5441874737
548	0.5441086842
549	0.5439336547
550	0.543876657
551	0.5437770791
552	0.5437125918
553	0.5436292099
554	0.5435388429
555	0.5434909099
556	0.5433857244
557	0.5432501481
558	0.5431229678
559	0.5430583306
560	0.5429639606
561	0.5428849228
562	0.5427688493
563	0.5426685347
564	0.5425367972
565	0.5424030966
566	0.5423405999
567	0.5422183224
568	0.5421697553
569	0.5421117407
570	0.5420447391
571	0.5419502337
572	0.5418531417
573	0.5417562379
574	0.5415799583
575	0.5415105554
576	0.5414544637
577	0.5412826396
578	0.5411842449
579	0.5410891591
580	0.5409968198
581	0.5409095607
582	0.5407697409
583	0.5406293492
584	0.5405715841
585	0.5404938381
586	0.5402542797
587	0.5401937703
588	0.5401125143
589	0.5400432073
590	0.5399471414
591	0.5398458176
592	0.5397125218
593	0.5395862367
594	0.5394668981
595	0.5394121838
596	0.5393257078
597	0.53918791
598	0.5391423927
599	0.5390958568
600	0.539043415
601	0.538862098
602	0.538718619
603	0.5384056143
604	0.5382852277
605	0.5382100207
606	0.5381355765
607	0.5380237356
608	0.5379770557
609	0.5378110998
610	0.5376181159
611	0.5375465329
612	0.5374987319
613	0.5373779707
614	0.5372941424
615	0.5371811791
