iter	MultiClass
0	1.036883355
1	0.9898228045
2	0.9571705641
3	0.9305193717
4	0.8999464275
5	0.880001071
6	0.8647133005
7	0.8496876956
8	0.8295928088
9	0.8173031907
10	0.8068906395
11	0.7979933675
12	0.790127492
13	0.7816798265
14	0.7719782649
15	0.7655806914
16	0.7624314125
17	0.7578286821
18	0.7517964801
19	0.7477628702
20	0.7441781487
21	0.7403445333
22	0.7372171782
23	0.7344997802
24	0.7323493765
25	0.7291809163
26	0.7276106748
27	0.7233042509
28	0.720824109
29	0.7188208412
30	0.7161358254
31	0.7145311555
32	0.7131506113
33	0.7106300689
34	0.7089648236
35	0.7070938635
36	0.7055212135
37	0.7042689073
38	0.7031803182
39	0.702421641
40	0.7013745957
41	0.700402593
42	0.6986285229
43	0.6970804282
44	0.6956099957
45	0.6938287768
46	0.6929752695
47	0.691345065
48	0.6904243381
49	0.6898178148
50	0.6890379174
51	0.6882162637
52	0.687499989
53	0.6863893169
54	0.6852241906
55	0.6845135478
56	0.6831760404
57	0.6825703441
58	0.6811043665
59	0.6802901582
60	0.6790263525
61	0.6776930178
62	0.6769981852
63	0.6760215755
64	0.675096675
65	0.6745004306
66	0.6740576471
67	0.6736073583
68	0.6728505498
69	0.6720148488
70	0.6712151699
71	0.6704544056
72	0.6693047194
73	0.6685386545
74	0.6680344006
75	0.6675146101
76	0.6667426376
77	0.6657585634
78	0.6651819041
79	0.6643865549
80	0.6633988931
81	0.6627073231
82	0.6616378011
83	0.6608367502
84	0.6598504314
85	0.6589130329
86	0.6585088436
87	0.6574796483
88	0.657084925
89	0.656594698
90	0.6558466995
91	0.6543021969
92	0.6535711756
93	0.6528952958
94	0.6522119757
95	0.6516895759
96	0.6508911695
97	0.650295353
98	0.6482096451
99	0.6479974163
100	0.6468576419
101	0.6462770267
102	0.6453601061
103	0.6449843917
104	0.6442692053
105	0.6436149096
106	0.6428879858
107	0.6424343778
108	0.6419605353
109	0.641502334
110	0.6412167369
111	0.6405259447
112	0.639844693
113	0.6392604472
114	0.6380347523
115	0.6375664881
116	0.6367892886
117	0.6360511068
118	0.6356801091
119	0.6353153509
120	0.6351416893
121	0.6344766607
122	0.6342237958
123	0.6334775152
124	0.6331581021
125	0.6328382158
126	0.6325168908
127	0.6321757066
128	0.6320251279
129	0.6314495786
130	0.6311717129
131	0.6304183827
132	0.6299430243
133	0.6295607654
134	0.6292944355
135	0.6289636358
136	0.628729802
137	0.6285593
138	0.6283672875
139	0.6282332538
140	0.6279689641
141	0.6277390936
142	0.6274936355
143	0.6270723705
144	0.6266817844
145	0.6262525458
146	0.6259428522
147	0.6258302185
148	0.6255879831
149	0.6251100376
150	0.6249014432
151	0.62466545
152	0.6240715688
153	0.6236501625
154	0.6233728186
155	0.6229278558
156	0.6226689004
157	0.6212816063
158	0.6210258851
159	0.6208720039
160	0.6204548378
161	0.6198796218
162	0.6193946298
163	0.6189806829
164	0.6187632455
165	0.618511272
166	0.6177781477
167	0.6171251824
168	0.6163847043
169	0.6159539568
170	0.6158880218
171	0.6153505061
172	0.615174437
173	0.6143729755
174	0.6141806488
175	0.6137066517
176	0.6134111059
177	0.6130496317
178	0.6126825828
179	0.6125566839
180	0.6121817838
181	0.6119363187
182	0.6115674931
183	0.6111738797
184	0.6104517119
185	0.6102894638
186	0.6101071761
187	0.6095669854
188	0.6094038317
189	0.609058427
190	0.6088354639
191	0.6082124873
192	0.6079809079
193	0.6075766245
194	0.6073979832
195	0.6071250596
196	0.6068072449
197	0.6066900451
198	0.6065624949
199	0.6058256612
200	0.6056131457
201	0.6052137974
202	0.6049879747
203	0.6046592874
204	0.6043352048
205	0.603888335
206	0.603634439
207	0.6035247307
208	0.6031849215
209	0.6028579646
210	0.6026310567
211	0.6023644434
212	0.6018551979
213	0.6014563323
214	0.6013357622
215	0.6011362786
216	0.6010410905
217	0.600686804
218	0.60037402
219	0.600068335
220	0.599967868
221	0.5995753526
222	0.599129353
223	0.5984649273
224	0.5981371409
225	0.5979445974
226	0.5974278852
227	0.5967909617
228	0.5965680201
229	0.5962604934
230	0.5960381552
231	0.595867068
232	0.5953558375
233	0.5951074903
234	0.5948604286
235	0.5947296954
236	0.5945948771
237	0.5943866057
238	0.5942687517
239	0.5938935102
240	0.593704808
241	0.5934755676
242	0.5933847292
243	0.5929928709
244	0.5928024834
245	0.5927349299
246	0.5925166983
247	0.5923504156
248	0.5921107171
249	0.5919095446
250	0.5918449394
251	0.5916209808
252	0.5914239996
253	0.5910025498
254	0.5906907025
255	0.5901662008
256	0.5895430743
257	0.5893771434
258	0.5893016541
259	0.5891933936
260	0.5889113656
261	0.5887741569
262	0.5885136859
263	0.5883806078
264	0.5883190953
265	0.5881725413
266	0.5880392132
267	0.5876893652
268	0.5874746981
269	0.5872058383
270	0.5871224238
271	0.586994175
272	0.5868517287
273	0.5866991951
274	0.5863447703
275	0.5860884059
276	0.5859656913
277	0.5858828474
278	0.5858187227
279	0.5856938604
280	0.5855759412
281	0.5854674672
282	0.5853823454
283	0.5853157978
284	0.5852300744
285	0.5851647806
286	0.5847906208
287	0.5846175953
288	0.5844687303
289	0.584174087
290	0.5838949894
291	0.5837734466
292	0.5834096865
293	0.5832840828
294	0.583189885
295	0.5826129366
296	0.5824874701
297	0.5823879886
298	0.5821631333
299	0.5820563084
300	0.5819709907
301	0.5818661025
302	0.581729152
