iter	Passed	Remaining
400	27533	521756
401	27599	521640
402	27662	521474
403	27732	521422
404	27799	521329
405	27869	521288
406	27932	521116
407	28002	521060
408	28066	520911
409	28131	520774
410	28203	520766
411	28271	520692
412	28341	520639
413	28406	520506
414	28473	520407
415	28536	520235
416	28599	520074
417	28666	519974
418	28730	519830
419	28802	519812
420	28869	519712
421	28936	519622
422	29003	519529
423	29073	519479
424	29152	519600
425	29222	519561
426	29292	519504
427	29360	519425
428	29426	519314
429	29493	519216
430	29564	519202
431	29630	519090
432	29699	519012
433	29765	518913
434	29830	518773
435	29898	518697
436	29969	518665
437	30032	518499
438	30099	518411
439	30159	518194
440	30226	518106
441	30296	518053
442	30363	517962
443	30431	517878
444	30496	517755
445	30563	517660
446	30626	517497
447	30698	517488
448	30764	517382
449	30828	517236
450	30896	517161
451	30965	517104
452	31033	517015
453	31104	516988
454	31173	516936
455	31241	516846
456	31311	516804
457	31378	516719
458	31445	516625
459	31514	516558
460	31579	516443
461	31645	516328
462	31712	516228
463	31783	516202
464	31847	516069
465	31915	515988
466	31980	515864
467	32044	515727
468	32115	515698
469	32178	515543
470	32243	515411
471	32311	515339
472	32375	515209
473	32443	515129
474	32507	514979
475	32573	514877
476	32642	514818
477	32705	514671
478	32778	514668
479	32844	514566
480	32910	514452
481	32973	514298
482	33041	514225
483	33116	514267
484	33190	514275
485	33259	514228
486	33328	514164
487	33395	514073
488	33464	514004
489	33527	513863
490	33596	513802
491	33664	513719
492	33728	513585
493	33795	513494
494	33865	513449
495	33931	513350
496	33997	513243
497	34065	513176
498	34136	513143
499	34203	513056
500	34268	512934
501	34330	512772
502	34395	512652
503	34456	512478
504	34521	512358
505	34587	512253
506	34654	512164
507	34723	512109
508	34790	512008
509	34857	511922
510	34923	511827
511	34994	511793
512	35058	511664
513	35125	511575
514	35200	511599
515	35273	511601
516	35346	511606
517	35421	511625
518	35490	511567
519	35561	511532
520	35629	511461
521	35697	511390
522	35760	511238
523	35824	511117
524	35888	510988
525	35955	510890
526	36018	510752
527	36091	510750
528	36161	510698
529	36234	510698
530	36312	510763
531	36395	510912
532	36475	511001
533	36551	511037
